hour,day_of_week,weather,vehicle_count
18,5,cloudy,40
16,5,sunny,29
13,4,cloudy,16
8,2,sunny,32
7,4,rainy,32
1,3,rainy,14
12,4,rainy,14
6,0,cloudy,20
8,3,sunny,26
21,5,rainy,21
21,1,sunny,21
10,5,rainy,27
13,2,cloudy,19
3,3,cloudy,23
12,3,sunny,19
1,0,cloudy,23
22,2,cloudy,18
4,1,sunny,22
10,6,rainy,23
5,3,cloudy,14
17,3,sunny,35
20,0,cloudy,19
9,4,cloudy,27
3,1,cloudy,16
8,5,cloudy,36
5,2,sunny,19
1,3,sunny,21
16,3,sunny,21
4,5,cloudy,28
5,1,cloudy,33
11,4,cloudy,20
22,3,sunny,16
20,1,cloudy,9
9,5,rainy,24
21,0,cloudy,26
20,4,rainy,18
5,2,cloudy,13
7,3,sunny,42
1,1,cloudy,21
11,0,rainy,17
12,2,rainy,26
20,6,cloudy,33
6,1,rainy,18
9,1,rainy,29
12,2,sunny,24
16,0,cloudy,18
20,6,cloudy,26
13,5,cloudy,27
1,0,rainy,14
21,4,cloudy,15
10,3,cloudy,18
0,2,sunny,15
18,5,sunny,35
20,6,sunny,16
3,2,rainy,16
18,2,cloudy,21
20,0,sunny,17
10,3,sunny,22
7,4,sunny,33
10,1,cloudy,23
3,1,cloudy,21
16,2,cloudy,14
6,3,rainy,19
7,6,rainy,24
2,6,sunny,30
21,5,cloudy,28
1,0,sunny,26
22,3,cloudy,20
14,3,cloudy,15
23,0,cloudy,13
21,6,rainy,14
21,6,rainy,11
4,6,cloudy,29
23,2,sunny,25
0,3,cloudy,22
3,1,cloudy,19
14,0,sunny,30
19,6,cloudy,34
18,5,sunny,36
2,6,rainy,19
19,6,rainy,28
10,4,sunny,23
16,2,rainy,11
12,0,rainy,11
10,4,sunny,23
1,4,rainy,12
8,5,cloudy,35
1,3,cloudy,18
20,5,sunny,24
8,3,rainy,21
8,3,cloudy,26
7,0,cloudy,25
16,6,rainy,24
0,0,rainy,15
10,2,cloudy,24
7,3,cloudy,35
9,4,sunny,27
6,6,sunny,29
2,1,cloudy,19
2,2,sunny,19
17,0,cloudy,36
4,5,cloudy,27
11,2,sunny,18
11,2,sunny,22
18,6,rainy,23
5,2,rainy,16
1,2,rainy,7
11,1,cloudy,15
18,5,sunny,37
4,5,cloudy,11
11,5,sunny,34
16,3,cloudy,24
16,4,rainy,5
9,5,rainy,41
22,2,rainy,28
16,2,cloudy,19
14,5,sunny,20
11,6,sunny,33
15,5,rainy,18
23,2,rainy,15
18,3,rainy,31
7,0,rainy,24
20,0,sunny,18
16,5,cloudy,18
22,1,cloudy,16
4,5,cloudy,23
21,6,cloudy,18
15,5,rainy,14
5,0,rainy,15
7,2,rainy,15
17,5,cloudy,30
11,2,rainy,24
14,2,rainy,13
8,1,sunny,27
12,2,sunny,18
14,0,rainy,13
9,3,sunny,32
15,3,sunny,22
6,4,rainy,13
16,6,rainy,18
22,5,rainy,26
20,6,rainy,12
21,0,cloudy,19
6,2,cloudy,20
13,3,rainy,11
14,6,sunny,24
20,0,rainy,10
6,3,rainy,18
8,2,sunny,23
18,6,cloudy,40
15,3,rainy,14
7,5,rainy,27
17,5,cloudy,29
22,4,cloudy,25
17,4,sunny,26
19,3,cloudy,24
6,0,cloudy,25
2,5,cloudy,20
17,0,sunny,29
9,0,cloudy,34
6,3,cloudy,20
16,0,sunny,28
13,5,cloudy,20
23,2,cloudy,18
2,4,sunny,19
11,2,rainy,18
12,0,sunny,26
1,2,cloudy,20
2,5,cloudy,24
4,5,cloudy,17
10,0,sunny,20
7,3,cloudy,26
22,2,cloudy,23
22,3,sunny,17
11,3,rainy,13
6,1,rainy,7
14,0,cloudy,10
23,4,sunny,29
16,5,cloudy,25
3,5,sunny,27
21,0,sunny,15
12,6,rainy,24
17,6,rainy,33
0,6,sunny,20
15,4,cloudy,14
12,5,rainy,16
9,0,cloudy,29
11,5,rainy,20
1,3,rainy,15
22,2,cloudy,26
2,2,rainy,11
9,5,rainy,24
1,1,cloudy,20
22,4,rainy,6
12,6,rainy,23
12,4,rainy,15
17,4,cloudy,28
2,3,sunny,18
6,4,cloudy,24
13,2,sunny,24
19,3,rainy,23
16,0,sunny,22
20,4,cloudy,24
11,4,cloudy,21
15,0,rainy,13
23,4,sunny,21
11,0,rainy,9
14,3,rainy,15
9,2,cloudy,28
6,0,sunny,18
19,1,sunny,21
4,0,sunny,14
0,4,sunny,17
16,6,rainy,24
2,6,rainy,21
12,3,cloudy,24
13,5,rainy,26
23,3,rainy,16
17,5,cloudy,35
3,6,cloudy,20
17,6,cloudy,44
4,0,rainy,7
15,2,rainy,15
0,1,cloudy,24
20,3,cloudy,24
13,4,cloudy,14
14,5,rainy,17
8,4,rainy,21
14,2,sunny,10
16,5,rainy,20
23,3,rainy,11
3,0,rainy,22
11,4,cloudy,23
4,2,rainy,15
4,3,cloudy,17
10,6,sunny,25
5,6,sunny,23
6,3,cloudy,20
23,3,cloudy,29
13,3,cloudy,14
23,5,rainy,19
10,3,sunny,23
12,4,cloudy,17
1,2,rainy,22
6,5,sunny,28
19,3,rainy,21
3,1,sunny,21
7,1,rainy,21
19,2,sunny,26
21,6,sunny,24
20,0,rainy,21
18,0,cloudy,33
12,6,sunny,24
13,5,cloudy,28
9,5,rainy,31
10,5,cloudy,19
1,0,cloudy,19
8,1,cloudy,29
16,0,cloudy,23
2,4,cloudy,17
23,3,sunny,15
5,5,sunny,24
4,1,sunny,16
4,2,rainy,13
21,2,cloudy,19
14,3,sunny,18
22,1,rainy,19
16,0,sunny,27
8,0,sunny,34
2,4,cloudy,11
19,4,rainy,21
16,0,cloudy,19
9,2,cloudy,20
2,5,sunny,20
17,2,cloudy,29
17,4,rainy,22
16,3,cloudy,20
23,0,cloudy,13
2,4,cloudy,17
2,4,sunny,20
5,5,rainy,20
12,0,sunny,22
23,5,sunny,26
14,0,sunny,17
8,5,sunny,35
3,2,sunny,16
13,3,rainy,13
4,3,cloudy,14
1,0,sunny,25
10,1,sunny,18
8,6,rainy,35
23,4,rainy,16
2,4,cloudy,15
8,0,rainy,26
2,5,cloudy,29
1,1,sunny,19
11,2,sunny,20
9,5,cloudy,32
8,5,rainy,30
14,0,cloudy,21
7,0,rainy,22
4,4,sunny,14
10,0,rainy,21
1,0,cloudy,23
23,0,cloudy,17
14,4,sunny,21
5,2,rainy,7
7,2,rainy,15
4,6,rainy,25
15,6,sunny,26
17,0,rainy,24
5,6,cloudy,26
4,4,rainy,31
15,2,sunny,24
12,5,rainy,14
4,2,rainy,6
12,2,cloudy,25
16,4,rainy,19
17,6,cloudy,37
7,5,cloudy,30
12,4,sunny,21
18,0,cloudy,26
2,3,cloudy,23
23,2,sunny,24
7,3,cloudy,27
1,4,sunny,25
7,4,rainy,25
12,4,sunny,22
12,3,cloudy,13
0,4,sunny,21
5,0,cloudy,16
23,4,rainy,17
18,1,sunny,37
15,6,rainy,21
7,3,cloudy,25
0,1,cloudy,23
15,4,rainy,17
8,0,sunny,40
12,2,sunny,21
10,5,cloudy,22
12,6,rainy,23
20,5,rainy,19
9,4,sunny,30
3,6,sunny,20
5,6,sunny,24
6,0,rainy,15
4,6,sunny,24
10,3,sunny,17
12,1,cloudy,21
18,1,sunny,25
22,1,sunny,14
9,3,rainy,28
9,5,rainy,33
10,0,cloudy,13
20,6,sunny,15
6,3,cloudy,14
17,1,rainy,24
3,4,cloudy,25
1,2,rainy,14
13,6,cloudy,21
12,3,cloudy,20
11,3,sunny,19
6,0,cloudy,13
1,0,sunny,13
12,3,sunny,13
13,1,sunny,32
16,2,sunny,24
8,6,cloudy,32
16,0,rainy,20
7,6,rainy,27
1,1,rainy,20
23,6,cloudy,25
12,4,sunny,16
2,0,rainy,18
15,1,cloudy,20
5,1,sunny,21
18,2,rainy,26
6,2,sunny,21
9,4,rainy,29
8,1,rainy,37
1,5,rainy,26
14,1,sunny,21
4,2,cloudy,18
21,5,sunny,23
3,0,rainy,8
19,0,sunny,33
3,6,cloudy,19
17,3,sunny,28
3,2,cloudy,23
16,3,cloudy,18
11,5,sunny,22
21,2,rainy,9
16,4,cloudy,26
9,1,sunny,25
21,4,cloudy,17
0,5,rainy,11
21,2,sunny,19
23,5,sunny,23
17,1,sunny,30
17,0,rainy,19
13,0,cloudy,23
14,5,sunny,15
11,3,cloudy,19
3,2,cloudy,20
2,2,rainy,15
19,0,sunny,30
11,6,cloudy,28
6,4,sunny,26
10,6,sunny,24
0,1,rainy,10
5,4,sunny,22
14,4,sunny,18
14,5,cloudy,31
18,0,rainy,21
10,6,sunny,20
22,6,cloudy,25
1,0,rainy,6
13,6,rainy,17
1,0,cloudy,18
3,5,cloudy,26
16,3,cloudy,15
2,4,cloudy,15
12,5,cloudy,30
8,2,sunny,29
6,1,sunny,24
14,3,rainy,12
22,2,sunny,19
10,4,sunny,21
19,6,sunny,43
1,0,cloudy,18
14,4,rainy,14
13,5,rainy,25
19,1,rainy,23
21,5,rainy,21
10,3,sunny,25
2,3,sunny,17
16,1,cloudy,21
11,2,rainy,23
23,2,sunny,24
20,3,sunny,21
14,3,cloudy,18
15,6,cloudy,21
4,0,cloudy,15
19,6,sunny,42
5,6,sunny,31
18,2,cloudy,26
4,1,rainy,16
2,2,cloudy,20
0,0,cloudy,25
5,5,cloudy,26
14,3,cloudy,19
1,3,sunny,17
2,0,rainy,16
16,6,cloudy,23
23,1,rainy,16
11,3,rainy,14
17,4,rainy,23
14,6,cloudy,20
11,3,sunny,22
15,4,cloudy,20
7,0,rainy,33
13,0,rainy,9
16,6,sunny,28
20,3,cloudy,19
7,2,rainy,35
14,4,sunny,22
13,1,rainy,16
17,3,sunny,29
19,1,sunny,26
6,3,cloudy,21
2,2,rainy,8
11,2,cloudy,13
20,6,rainy,25
23,6,cloudy,16
2,2,rainy,13
19,5,cloudy,29
13,2,sunny,17
14,0,rainy,15
13,0,rainy,19
6,5,sunny,31
16,4,cloudy,15
11,1,rainy,12
19,3,rainy,45
3,3,cloudy,18
8,5,sunny,30
5,0,cloudy,16
15,6,cloudy,23
21,3,cloudy,18
21,0,rainy,13
20,4,sunny,19
20,1,sunny,19
1,4,cloudy,15
23,5,rainy,21
7,2,cloudy,30
10,2,rainy,17
12,2,rainy,6
16,4,rainy,15
7,3,rainy,15
20,1,sunny,19
17,2,rainy,28
17,5,rainy,35
13,5,cloudy,26
14,2,cloudy,23
5,2,sunny,18
10,1,cloudy,17
12,2,rainy,28
0,1,cloudy,24
5,5,sunny,19
8,2,cloudy,21
7,4,cloudy,27
10,6,sunny,30
21,4,sunny,20
18,5,rainy,18
23,1,cloudy,19
8,4,rainy,24
16,1,cloudy,7
11,4,cloudy,20
13,4,rainy,9
14,1,cloudy,10
15,3,cloudy,28
21,4,cloudy,14
21,2,sunny,16
19,6,rainy,26
0,5,sunny,25
9,3,rainy,33
7,1,rainy,19
17,3,cloudy,28
0,0,rainy,15
1,0,sunny,15
0,4,sunny,18
0,4,sunny,22
8,2,rainy,21
12,6,sunny,23
0,5,rainy,17
12,3,sunny,19
19,0,sunny,31
21,4,rainy,17
6,5,sunny,34
1,3,cloudy,6
5,4,rainy,14
6,4,rainy,8
13,0,rainy,13
17,0,cloudy,34
14,4,rainy,20
1,1,sunny,26
9,4,sunny,36
22,5,sunny,24
11,4,rainy,21
16,2,sunny,27
7,6,rainy,30
10,2,sunny,25
2,2,cloudy,20
5,1,cloudy,27
8,1,cloudy,29
5,4,cloudy,16
8,2,rainy,19
6,1,sunny,19
8,0,cloudy,30
17,4,rainy,20
11,5,cloudy,23
7,6,cloudy,32
7,3,rainy,19
17,4,rainy,30
19,3,sunny,36
14,2,sunny,25
6,6,cloudy,24
10,3,cloudy,19
19,2,sunny,24
15,0,sunny,22
3,3,rainy,15
5,6,sunny,39
21,4,sunny,25
2,2,cloudy,21
8,4,sunny,29
9,6,cloudy,40
13,1,sunny,15
10,2,rainy,20
17,3,sunny,24
21,2,sunny,17
11,4,sunny,10
22,0,cloudy,23
11,2,rainy,16
12,3,sunny,17
12,1,cloudy,15
18,5,rainy,36
18,0,cloudy,29
22,1,cloudy,16
13,2,rainy,24
3,4,sunny,16
12,6,cloudy,30
7,4,cloudy,24
22,3,sunny,18
20,4,sunny,22
22,0,rainy,14
18,4,rainy,26
11,3,rainy,12
17,5,sunny,27
5,2,cloudy,27
17,6,cloudy,32
18,2,rainy,26
21,4,sunny,23
4,1,cloudy,21
23,2,rainy,11
8,5,cloudy,40
2,4,cloudy,22
9,6,sunny,35
18,3,sunny,30
2,5,cloudy,33
21,4,rainy,11
14,5,sunny,27
0,2,cloudy,17
6,6,sunny,15
11,3,sunny,10
16,4,sunny,14
20,0,cloudy,16
23,3,rainy,25
19,0,rainy,28
4,5,rainy,23
3,1,sunny,16
11,3,cloudy,20
19,5,sunny,46
23,0,rainy,8
17,2,rainy,27
16,2,cloudy,28
18,1,sunny,34
8,3,rainy,34
3,3,cloudy,21
20,3,sunny,23
1,5,sunny,25
3,6,rainy,22
1,6,rainy,15
14,1,sunny,23
1,3,sunny,21
3,5,rainy,20
5,2,sunny,28
6,0,rainy,13
9,5,sunny,41
18,6,rainy,36
18,6,cloudy,39
21,2,rainy,10
11,2,rainy,16
2,0,cloudy,29
12,2,sunny,10
17,1,cloudy,29
7,0,rainy,30
20,2,sunny,19
14,4,cloudy,24
0,5,sunny,32
2,2,sunny,21
